Release,ClassName,SizeLOC
1,"console/src/main/java/org/apache/syncope/console/pages/Resources.java",506
1,"console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java",121
1,"console/src/main/java/org/apache/syncope/console/pages/Roles.java",96
1,"console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java",59
1,"console/src/main/java/org/apache/syncope/console/pages/Schema.java",856
1,"console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java",301
1,"console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java",114
1,"console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java",112
1,"console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java",235
1,"console/src/main/java/org/apache/syncope/console/pages/Tasks.java",208
1,"console/src/main/java/org/apache/syncope/console/pages/Todo.java",483
1,"console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java",216
1,"console/src/main/java/org/apache/syncope/console/pages/UserRequestModalPage.java",138
1,"console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java",62
1,"console/src/main/java/org/apache/syncope/console/pages/Users.java",154
1,"console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java",114
1,"console/src/main/java/org/apache/syncope/console/pages/WelcomePage.java",45
1,"console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java",82
1,"console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java",268
1,"console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java",176
1,"console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java",37
1,"console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java",237
1,"console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java",334
1,"console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java",263
1,"console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java",249
1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java",305
1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java",235
1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java",527
1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java",195
1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java",70
1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResultSetPanel.java",555
1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java",110
1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java",194
1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleSummaryPanel.java",140
1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java",100
1,"console/src/main/java/org/apache/syncope/console/pages/panels/RolesPanel.java",187
1,"console/src/main/java/org/apache/syncope/console/pages/panels/SchedTasks.java",274
1,"console/src/main/java/org/apache/syncope/console/pages/panels/StatusPanel.java",174
1,"console/src/main/java/org/apache/syncope/console/pages/panels/SyncTasks.java",295
1,"console/src/main/java/org/apache/syncope/console/pages/panels/UserDetailsPanel.java",107
1,"console/src/main/java/org/apache/syncope/console/pages/panels/UserManagementResultPanel.java",357
1,"console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchPanel.java",609
1,"console/src/main/java/org/apache/syncope/console/pages/panels/VirtualAttributesPanel.java",185
1,"console/src/main/java/org/apache/syncope/console/rest/AbstractBaseRestClient.java",34
1,"console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java",48
1,"console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java",72
