Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/EntityViolationType.java",2,0,3,69,0,1,69,69,69,69,8,85,782,109,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/IntMappingType.java",4,0,16,374,0,6,273,106,172,87,73,530,2792,783,4,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java",48,1,52,403,0,4,378,267,353,267,43,355,2393,352,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/PolicyType.java",1,0,1,139,0,3,94,15,49,14,51,415,2577,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/PropagationMode.java",0,0,0,98,0,3,62,15,26,14,36,324,2363,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/PropagationOperation.java",0,0,0,100,0,3,63,15,26,14,44,402,2871,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java",1,0,2,130,0,3,86,14,42,14,54,387,2477,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java",0,0,0,124,0,3,76,14,28,14,39,344,2418,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ReportExecStatus.java",0,0,0,114,0,3,71,14,28,14,39,344,2418,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/SchemaType.java",2,0,4,289,0,3,166,35,43,35,78,542,3118,822,3,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java",4,1,6,228,0,4,145,29,62,24,63,501,3082,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java",3,0,6,613,0,3,356,67,99,67,124,843,3740,767,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java",2,0,9,95,0,3,80,60,65,60,31,294,2223,185,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java",1,0,1,123,0,3,79,14,35,14,47,408,2583,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/TraceLevel.java",0,0,0,120,0,3,80,17,40,16,46,349,2406,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/UserRequestType.java",0,0,0,109,0,3,68,21,27,21,47,358,2348,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java",0,0,0,95,0,3,62,21,29,21,39,314,2267,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/package-info.java",0,0,0,105,0,3,62,14,19,14,36,324,2363,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/SyncopeApplication.java",6,12,16,886,0,4,530,75,174,68,78,583,3407,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java",1,1,8,391,0,3,237,69,83,69,46,410,2951,646,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/SyncopeSession.java",11,1,13,262,0,5,187,42,112,42,48,401,2696,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/Constants.java",0,0,0,348,0,3,221,29,94,15,77,558,3409,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java",3,1,4,190,0,3,120,34,50,34,49,416,2839,383,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java",7,2,16,235,0,2,200,157,165,157,21,172,1328,164,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java",2,0,2,153,0,3,98,34,43,34,38,336,2321,383,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java",10,0,21,548,0,4,364,168,180,168,43,356,2717,537,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java",6,2,11,173,0,3,142,93,111,93,38,353,2724,542,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java",1,7,3,146,0,3,106,59,66,59,42,381,2846,452,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java",13,2,13,255,0,3,184,66,113,66,47,409,2812,674,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java",2,0,3,226,0,3,133,35,40,35,52,383,2466,822,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/SelectOption.java",7,0,12,114,0,3,93,50,72,50,39,343,2710,382,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java",2,0,7,138,0,3,102,52,66,52,38,345,2685,502,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java",2,2,5,127,0,3,102,75,77,75,35,340,2699,500,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/StatusBean.java",6,0,6,279,0,3,169,35,59,35,56,404,2439,822,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java",6,8,35,298,0,2,241,195,184,195,24,237,1920,165,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java",4,3,8,153,0,3,124,91,95,91,37,355,2726,275,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java",2,0,8,300,0,3,201,128,102,128,33,328,2662,611,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java",8,2,28,375,0,1,279,226,183,226,19,165,1300,164,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java",2,6,7,601,0,3,360,167,119,167,70,505,3259,382,1,No
