Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java,1,1,8,0,0,3,0,0,0,0,0,0,0,669,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java,6,2,11,0,0,3,0,0,0,0,0,0,0,565,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java,1,7,3,0,0,3,0,0,0,0,0,0,0,475,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/commons/SelectOption.java,7,0,12,0,0,3,0,0,0,0,0,0,0,405,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java,8,2,28,0,0,1,0,0,0,0,0,0,0,187,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java,2,6,7,0,0,3,0,0,0,0,0,0,0,405,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java,2,3,2,0,0,3,0,0,0,0,0,0,0,475,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java,3,5,11,0,0,3,0,0,0,0,0,0,0,781,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java,10,5,18,0,0,3,0,0,0,0,0,0,0,754,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/Logout.java,0,2,0,0,0,4,0,0,0,0,0,0,0,804,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java,2,5,2,0,0,3,0,0,0,0,0,0,0,754,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java,2,5,5,0,0,3,0,0,0,0,0,0,0,754,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java,3,5,11,0,0,3,0,0,0,0,0,0,0,475,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java,10,13,22,0,0,4,0,0,0,0,0,0,0,362,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java,7,10,11,0,0,4,0,0,0,0,0,0,0,200,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java,5,5,15,0,0,3,0,0,0,0,0,0,0,314,0,No
