@relation dataset_C-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
1,1,2,92,0,3,74,53,56,53,33,344,2704,272,0,No
1,1,2,136,0,3,92,53,48,53,36,358,2731,272,0,No
1,0,1,154,0,3,98,17,42,16,43,394,2866,783,0,No
14,2,33,626,0,3,440,264,254,264,38,350,2726,191,0,No
3,0,3,95,0,3,81,58,67,58,37,344,2729,541,0,No
1,0,1,335,0,3,193,56,51,56,56,464,3092,731,0,No
2,1,2,189,0,3,128,54,67,54,37,364,2795,339,0,No
2,0,3,318,0,3,191,56,64,56,55,460,3092,731,0,No
4,0,7,429,0,3,258,64,87,64,57,473,3140,731,0,No
1,0,1,140,0,3,93,21,46,16,45,403,2924,783,0,No
0,0,0,125,0,3,82,16,39,16,38,340,2438,783,0,No
8,0,14,310,0,4,239,133,168,133,45,386,2843,339,0,No
25,0,35,221,0,1,218,211,215,211,17,161,1304,152,0,No
12,0,20,164,0,1,161,159,158,159,17,167,1269,144,0,No
1,4,9,150,0,3,116,74,82,74,39,364,2676,185,0,No
13,3,18,424,0,5,260,77,96,77,73,606,3279,776,0,No
2,0,2,112,0,3,70,14,28,14,41,358,2499,783,0,No
25,0,42,772,0,4,470,61,168,61,103,785,3701,776,0,No
6,3,12,630,0,4,359,177,88,177,79,593,3359,796,0,No
8,0,12,125,0,4,109,84,93,84,33,332,2639,177,0,No
8,0,10,488,0,4,278,102,68,92,76,559,2838,457,0,No
0,1,0,438,0,4,239,89,40,89,78,633,3335,776,0,No
4,1,4,417,0,3,236,58,55,58,68,533,2865,811,0,No
23,5,31,286,0,4,242,143,198,143,63,469,3016,279,0,No
16,1,17,168,0,4,156,114,144,114,33,307,2298,272,0,No
0,1,0,432,0,3,236,89,40,89,77,624,3322,776,0,No
6,4,6,255,0,3,165,100,75,100,82,568,3196,352,0,No
14,5,14,429,0,4,284,191,139,191,98,714,3475,660,0,No
6,1,8,110,0,3,92,69,74,69,31,286,2222,177,0,No
5,2,7,147,0,3,106,69,65,69,33,333,2643,177,0,No
4,1,4,79,0,3,65,44,51,44,35,332,2363,383,0,No
15,2,15,509,0,3,333,149,157,149,68,566,2793,767,0,No
0,1,0,432,0,3,236,89,40,89,71,594,3235,776,0,No
