@relation dataset_Bplus-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
9,1,18,0,0,3,0,0,0,0,0,0,0,845,1,No
9,1,9,0,0,3,0,0,0,0,0,0,0,802,1,No
7,1,7,0,0,3,0,0,0,0,0,0,0,802,1,No
19,3,25,0,0,3,0,0,0,0,0,0,0,810,1,No
39,6,49,0,0,4,0,0,0,0,0,0,0,790,1,No
13,2,27,0,0,3,0,0,0,0,0,0,0,200,1,No
17,4,18,0,0,4,0,0,0,0,0,0,0,406,1,No
24,7,30,0,0,4,0,0,0,0,0,0,0,769,1,No
53,9,96,0,0,5,0,0,0,0,0,0,0,799,1,No
12,5,12,0,0,3,0,0,0,0,0,0,0,845,1,No
5,3,9,0,0,3,0,0,0,0,0,0,0,834,1,No
8,12,19,0,0,3,0,0,0,0,0,0,0,790,1,No
14,8,26,0,0,3,0,0,0,0,0,0,0,834,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,845,1,No
2,2,7,0,0,3,0,0,0,0,0,0,0,302,1,No
2,4,12,0,0,4,0,0,0,0,0,0,0,354,1,No
2,3,9,0,0,5,0,0,0,0,0,0,0,400,1,No
4,13,19,0,0,4,0,0,0,0,0,0,0,312,1,No
2,4,8,0,0,3,0,0,0,0,0,0,0,312,1,No
1,9,25,0,0,4,0,0,0,0,0,0,0,305,1,No
1,2,1,0,0,3,0,0,0,0,0,0,0,375,1,No
1,1,1,0,0,3,0,0,0,0,0,0,0,197,1,No
6,10,21,0,0,3,0,0,0,0,0,0,0,200,1,No
4,4,7,0,0,3,0,0,0,0,0,0,0,398,1,No
4,10,27,0,0,5,0,0,0,0,0,0,0,295,1,Yes
2,13,11,0,0,3,0,0,0,0,0,0,0,200,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,406,1,No
3,5,12,0,0,4,0,0,0,0,0,0,0,274,1,No
13,2,18,0,0,3,0,0,0,0,0,0,0,298,1,No
5,0,5,0,0,3,0,0,0,0,0,0,0,781,1,No
3,0,3,0,0,3,0,0,0,0,0,0,0,544,1,No
6,1,16,0,0,4,0,0,0,0,0,0,0,544,1,No
2,0,6,0,0,4,0,0,0,0,0,0,0,229,1,No
15,8,19,0,0,4,0,0,0,0,0,0,0,330,1,No
17,6,17,0,0,4,0,0,0,0,0,0,0,330,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,406,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,406,1,No
10,4,14,0,0,3,0,0,0,0,0,0,0,307,1,No
16,2,25,0,0,3,0,0,0,0,0,0,0,307,1,No
20,7,35,0,0,3,0,0,0,0,0,0,0,307,1,No
6,0,18,0,0,3,0,0,0,0,0,0,0,292,1,No
5,0,17,0,0,3,0,0,0,0,0,0,0,292,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,438,1,No
5,1,6,0,0,3,0,0,0,0,0,0,0,877,1,No
25,1,52,0,0,3,0,0,0,0,0,0,0,724,1,No
