Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/PolicyType.java,1,0,1,139,0,3,94,15,49,14,51,415,2577,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/PropagationMode.java,0,0,0,98,0,3,62,15,26,14,36,324,2363,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/PropagationOperation.java,0,0,0,100,0,3,63,15,26,14,44,402,2871,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java,1,0,2,130,0,3,86,14,42,14,54,387,2477,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java,0,0,0,124,0,3,76,14,28,14,39,344,2418,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/ReportExecStatus.java,0,0,0,114,0,3,71,14,28,14,39,344,2418,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java,4,1,6,228,0,4,145,29,62,24,63,501,3082,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java,2,0,9,95,0,3,80,60,65,60,31,294,2223,185,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java,1,0,1,123,0,3,79,14,35,14,47,408,2583,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/TraceLevel.java,0,0,0,120,0,3,80,17,40,16,46,349,2406,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/UserRequestType.java,0,0,0,109,0,3,68,21,27,21,47,358,2348,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java,0,0,0,95,0,3,62,21,29,21,39,314,2267,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/package-info.java,0,0,0,105,0,3,62,14,19,14,36,324,2363,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/SyncopeApplication.java,6,12,16,886,0,4,530,75,174,68,78,583,3407,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/SyncopeSession.java,11,1,13,262,0,5,187,42,112,42,48,401,2696,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/Constants.java,0,0,0,348,0,3,221,29,94,15,77,558,3409,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java,7,2,16,235,0,2,200,157,165,157,21,172,1328,164,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java,2,0,2,153,0,3,98,34,43,34,38,336,2321,383,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java,2,0,3,226,0,3,133,35,40,35,52,383,2466,822,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java,2,0,7,138,0,3,102,52,66,52,38,345,2685,502,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java,2,2,5,127,0,3,102,75,77,75,35,340,2699,500,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java,4,3,8,153,0,3,124,91,95,91,37,355,2726,275,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java,2,0,8,300,0,3,201,128,102,128,33,328,2662,611,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java,1,1,1,154,0,3,104,14,54,14,56,471,3232,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java,2,7,4,170,0,3,130,98,90,98,32,321,2637,177,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java,0,0,0,101,0,3,71,15,41,14,45,405,2910,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java,0,0,0,112,0,3,72,21,32,21,51,393,2784,383,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/HomePage.java,0,0,0,71,0,3,52,16,33,16,29,280,2268,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java,0,3,0,133,0,4,101,67,69,67,39,369,2802,272,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java,0,2,0,165,0,3,105,47,45,47,40,338,2499,452,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java,3,2,3,102,0,1,86,76,70,76,23,187,1394,164,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java,1,2,1,543,0,4,301,167,59,167,62,475,3159,382,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java,2,6,3,512,0,3,312,132,112,132,69,493,3128,382,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/Tasks.java,11,9,16,2208,0,4,1208,151,208,133,110,688,3855,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java,2,3,2,142,0,3,102,47,62,47,36,338,2724,452,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java,0,3,0,158,0,3,120,81,82,81,32,321,2637,177,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java,8,7,12,442,0,3,309,159,176,159,47,393,2859,450,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java,1,0,1,159,0,3,98,15,37,14,49,397,2537,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java,16,14,61,1537,0,5,1032,532,527,532,51,381,2778,177,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/panels/UserDetailsPanel.java,1,5,2,521,0,3,314,190,107,190,55,457,3092,279,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/pages/panels/VirtualAttributesPanel.java,9,9,15,677,0,3,431,224,185,224,56,447,3061,450,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java,3,3,3,96,0,4,72,43,48,43,37,356,2760,282,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java,5,2,5,644,0,5,358,73,72,68,81,532,2942,731,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/EntitlementRestClient.java,1,2,2,116,0,4,83,54,50,54,33,328,2658,579,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/LoggerRestClient.java,7,6,9,710,0,5,395,73,80,68,81,532,2942,731,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/NotificationRestClient.java,7,3,7,210,0,4,141,77,72,77,35,350,2733,272,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/PolicyRestClient.java,5,6,32,519,0,5,355,141,191,57,51,437,2967,339,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/ReportRestClient.java,10,4,11,213,0,3,162,116,111,116,27,197,1464,164,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/ResourceRestClient.java,5,3,7,404,0,5,238,120,72,120,47,377,2896,752,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/RoleRestClient.java,5,4,7,448,0,5,276,120,104,120,47,405,2990,752,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/SchemaRestClient.java,18,6,30,2584,0,5,1445,241,306,216,90,552,3286,822,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/TaskRestClient.java,16,8,23,863,0,5,528,147,193,147,88,588,3400,647,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/UserRequestRestClient.java,6,4,6,132,0,5,96,55,60,55,37,345,2755,265,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/UserRestClient.java,13,7,21,1295,0,5,731,123,167,111,93,597,3432,773,0,Yes
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/rest/WorkflowRestClient.java,2,3,2,169,0,4,104,54,39,54,37,364,2784,579,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/ajax/form/AbstractAjaxDownloadBehavior.java,4,0,4,58,0,1,53,50,48,50,19,165,1300,164,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/IndicatingDeleteOnConfirmAjaxLink.java,2,0,2,98,0,3,74,50,50,50,37,348,2706,502,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/DatePropertyColumn.java,1,1,2,92,0,3,74,53,56,53,33,344,2704,272,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/TokenColumn.java,1,1,2,136,0,3,92,53,48,53,36,358,2731,272,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AbstractFieldPanel.java,1,0,1,154,0,3,98,17,42,16,43,394,2866,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLinksPanel.java,14,2,33,626,0,3,440,264,254,264,38,350,2726,191,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDecoratedCheckbox.java,3,0,3,95,0,3,81,58,67,58,37,344,2729,541,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxNumberFieldPanel.java,1,0,1,335,0,3,193,56,51,56,56,464,3092,731,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPalettePanel.java,2,1,2,189,0,3,128,54,67,54,37,364,2795,339,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPasswordFieldPanel.java,2,0,3,318,0,3,191,56,64,56,55,460,3092,731,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxTextFieldPanel.java,4,0,7,429,0,3,258,64,87,64,57,473,3140,731,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/CheckBoxMultipleChoiceFieldPanel.java,1,0,1,140,0,3,93,21,46,16,45,403,2924,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/LinkPanel.java,0,0,0,125,0,3,82,16,39,16,38,340,2438,783,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/MultiValueSelectorPanel.java,8,0,14,310,0,4,239,133,168,133,45,386,2843,339,0,No
SYNCOPE,1,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/SingleColumnPalette.java,25,0,35,221,0,1,218,211,215,211,17,161,1304,152,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/audit/JNDIFallbackConnectionSource.java,12,0,20,164,0,1,161,159,158,159,17,167,1269,144,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/init/LoggerLoader.java,1,4,9,150,0,3,116,74,82,74,39,364,2676,185,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttr.java,13,3,18,424,0,5,260,77,96,77,73,606,3279,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrUniqueValue.java,2,0,2,112,0,3,70,14,28,14,41,358,2499,783,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttributable.java,25,0,42,772,0,4,470,61,168,61,103,785,3701,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractDerAttr.java,6,3,12,630,0,4,359,177,88,177,79,593,3359,796,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractExec.java,8,0,12,125,0,4,109,84,93,84,33,332,2639,177,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractVirAttr.java,8,0,10,488,0,4,278,102,68,92,76,559,2838,457,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/AccountPolicy.java,0,1,0,438,0,4,239,89,40,89,78,633,3335,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/Entitlement.java,4,1,4,417,0,3,236,58,55,58,68,533,2865,811,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/Notification.java,23,5,31,286,0,4,242,143,198,143,63,469,3016,279,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/NotificationTask.java,16,1,17,168,0,4,156,114,144,114,33,307,2298,272,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/PasswordPolicy.java,0,1,0,432,0,3,236,89,40,89,77,624,3322,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/Policy.java,6,4,6,255,0,3,165,100,75,100,82,568,3196,352,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/PropagationTask.java,14,5,14,429,0,4,284,191,139,191,98,714,3475,660,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/ReportExec.java,6,1,8,110,0,3,92,69,74,69,31,286,2222,177,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/ReportletConfInstance.java,5,2,7,147,0,3,106,69,65,69,33,333,2643,177,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/SchedTask.java,4,1,4,79,0,3,65,44,51,44,35,332,2363,383,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/SchemaMapping.java,15,2,15,509,0,3,333,149,157,149,68,566,2793,767,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/SyncPolicy.java,0,1,0,432,0,3,236,89,40,89,71,594,3235,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/SyncopeConf.java,4,0,4,206,0,3,129,35,52,35,56,387,2466,822,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/SyncopeLogger.java,6,2,6,467,0,3,268,58,69,58,75,573,2938,811,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/Task.java,5,0,10,466,0,3,270,191,74,191,64,564,3096,660,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/TaskExec.java,4,0,4,344,0,3,204,133,64,133,72,542,3062,660,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/UserRequest.java,8,4,11,143,0,3,117,88,91,88,54,412,2860,269,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MAttr.java,11,4,19,371,0,4,255,91,139,91,73,618,3308,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MAttrUniqueValue.java,5,3,7,148,0,4,112,49,76,49,49,409,2559,618,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MAttrValue.java,3,2,4,249,0,4,153,35,57,35,55,414,2602,822,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MDerAttr.java,4,3,6,136,0,4,99,53,62,53,43,393,2889,776,0,No
