@relation dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
8,2,28,375,0,1,279,226,183,226,19,165,1300,164,1,No
2,6,7,601,0,3,360,167,119,167,70,505,3259,382,1,No
2,3,2,104,0,3,77,47,50,47,37,347,2759,452,1,No
5,10,24,611,0,3,411,235,211,235,53,430,2991,282,2,No
1,1,1,154,0,3,104,14,54,14,56,471,3232,783,0,No
11,6,17,837,0,4,529,114,221,109,72,534,3333,783,2,No
36,18,54,2939,0,4,1822,350,705,258,119,759,4008,783,16,No
2,4,5,394,0,3,255,105,116,105,67,522,3337,677,3,No
15,14,43,2499,0,4,1471,253,443,253,132,787,3971,758,5,No
3,5,11,565,0,3,342,121,119,121,61,457,3290,758,1,No
10,5,18,1155,0,3,733,251,311,223,81,560,3407,731,1,No
2,7,4,170,0,3,130,98,90,98,32,321,2637,177,0,No
0,0,0,101,0,3,71,15,41,14,45,405,2910,783,0,No
0,0,0,112,0,3,72,21,32,21,51,393,2784,383,0,No
0,0,0,71,0,3,52,16,33,16,29,280,2268,783,0,No
11,4,15,1410,0,4,841,141,272,116,87,560,3286,782,10,No
0,2,0,114,0,4,81,25,48,25,34,291,2295,781,1,No
2,5,2,2492,0,3,1294,413,96,413,76,541,3406,731,1,No
6,12,16,405,0,4,332,156,259,156,46,413,2929,272,3,No
0,3,0,133,0,4,101,67,69,67,39,369,2802,272,0,No
5,13,25,464,0,4,335,247,206,247,42,374,2763,282,5,No
0,2,0,165,0,3,105,47,45,47,40,338,2499,452,0,No
3,2,3,102,0,1,86,76,70,76,23,187,1394,164,0,No
35,16,64,942,0,2,758,453,574,453,25,193,1421,164,6,No
10,17,69,486,0,1,417,348,348,348,17,161,1304,152,4,No
24,14,36,689,0,4,592,285,495,284,48,391,2836,783,5,No
3,7,9,5435,0,4,2800,374,165,374,162,919,4206,752,2,No
28,10,34,2020,0,4,1263,328,506,296,103,653,3762,783,13,No
2,5,5,4661,0,3,2391,437,121,413,107,670,3800,731,1,No
1,3,3,882,0,3,489,252,96,250,56,423,3074,783,4,No
1,2,1,543,0,4,301,167,59,167,62,475,3159,382,0,No
23,14,39,8466,0,3,4661,753,856,372,108,668,3823,776,40,No
9,9,37,1217,0,5,759,162,301,162,85,557,3505,758,6,No
4,4,7,624,0,3,369,301,114,301,36,338,2696,191,2,No
2,6,3,512,0,3,312,132,112,132,69,493,3128,382,0,No
9,13,11,1455,0,4,845,301,235,301,93,616,3650,647,2,No
11,9,16,2208,0,4,1208,151,208,133,110,688,3855,783,0,No
24,14,37,1223,0,3,853,334,483,334,47,417,2982,282,8,No
8,8,16,8738,0,4,4477,703,216,485,141,820,4137,731,3,No
2,6,10,246,0,3,192,118,138,118,37,344,2736,177,3,No
2,3,2,142,0,3,102,47,62,47,36,338,2724,452,0,No
7,5,11,8962,0,4,4558,539,154,450,174,975,4554,783,3,No
3,5,11,260,0,3,187,106,114,106,47,397,2960,452,1,No
0,2,0,439,0,4,242,96,45,86,51,435,3038,783,2,No
0,3,0,158,0,3,120,81,82,81,32,321,2637,177,0,No
8,17,38,1112,0,5,690,329,268,329,69,511,3239,367,3,No
8,7,12,442,0,3,309,159,176,159,47,393,2859,450,0,No
1,0,1,159,0,3,98,15,37,14,49,397,2537,783,0,No
8,13,14,2005,0,5,1121,151,237,133,97,621,3714,783,7,No
15,14,23,798,0,4,566,350,334,350,49,404,2912,333,5,No
10,13,22,869,0,4,566,309,263,309,61,483,3151,339,1,No
8,13,14,1977,0,5,1113,151,249,133,100,628,3726,783,6,No
6,13,27,617,0,4,461,371,305,371,42,358,2749,177,2,No
7,10,11,543,0,4,389,270,235,270,37,345,2734,177,1,No
16,14,61,1537,0,5,1032,532,527,532,51,381,2778,177,0,No
5,5,15,469,0,3,332,217,195,217,45,412,2910,291,1,No
1,4,2,182,0,4,126,63,70,63,34,333,2672,367,2,No
25,18,46,1541,0,4,1048,555,555,555,60,474,3108,275,2,Yes
1,5,1,238,0,3,174,135,110,135,38,360,2765,268,1,No
6,6,11,412,0,3,303,217,194,217,43,408,2880,291,1,No
5,3,8,300,0,3,220,160,140,160,35,347,2717,268,5,No
2,5,2,176,0,3,138,103,100,103,34,344,2714,268,2,No
9,7,13,481,0,3,334,187,187,187,52,404,2866,367,2,No
10,13,17,2202,0,5,1238,151,274,133,114,698,3934,783,6,No
2,5,7,796,0,3,485,376,174,376,32,321,2637,177,3,No
12,14,19,2285,0,5,1290,151,295,133,111,686,3941,783,6,No
1,5,2,521,0,3,314,190,107,190,55,457,3092,279,0,No
9,7,29,509,0,1,433,388,357,388,21,226,1901,165,3,No
26,15,67,9445,0,4,5027,539,609,450,171,953,4448,783,5,No
9,9,15,677,0,3,431,224,185,224,56,447,3061,450,0,No
0,0,0,444,0,4,239,42,34,35,65,435,2846,822,1,No
3,3,3,96,0,4,72,43,48,43,37,356,2760,282,0,No
5,2,5,644,0,5,358,73,72,68,81,532,2942,731,0,No
11,6,21,703,0,5,452,93,201,93,92,565,3288,758,1,No
1,2,2,116,0,4,83,54,50,54,33,328,2658,579,0,No
3,1,3,143,0,3,87,15,31,14,46,381,2512,783,2,No
0,0,0,127,0,3,79,15,31,14,40,355,2422,783,1,No
7,6,9,710,0,5,395,73,80,68,81,532,2942,731,0,No
7,3,7,210,0,4,141,77,72,77,35,350,2733,272,0,No
5,6,32,519,0,5,355,141,191,57,51,437,2967,339,0,No
10,4,11,213,0,3,162,116,111,116,27,197,1464,164,0,No
5,3,7,404,0,5,238,120,72,120,47,377,2896,752,0,No
5,4,7,448,0,5,276,120,104,120,47,405,2990,752,0,No
18,6,30,2584,0,5,1445,241,306,216,90,552,3286,822,0,No
16,8,23,863,0,5,528,147,193,147,88,588,3400,647,0,No
6,4,6,132,0,5,96,55,60,55,37,345,2755,265,0,No
13,7,21,1295,0,5,731,123,167,111,93,597,3432,773,0,Yes
2,3,2,169,0,4,104,54,39,54,37,364,2784,579,0,No
4,0,4,58,0,1,53,50,48,50,19,165,1300,164,0,No
2,0,2,98,0,3,74,50,50,50,37,348,2706,502,0,No
1,1,2,92,0,3,74,53,56,53,33,344,2704,272,0,No
1,1,2,136,0,3,92,53,48,53,36,358,2731,272,0,No
1,1,10,181,0,3,137,86,93,86,37,350,2713,269,1,No
1,0,1,154,0,3,98,17,42,16,43,394,2866,783,0,No
1,0,1,273,0,3,158,35,43,35,63,447,2772,822,1,No
14,2,33,626,0,3,440,264,254,264,38,350,2726,191,0,No
5,0,16,332,0,4,213,56,94,56,50,425,2998,731,1,No
3,0,3,95,0,3,81,58,67,58,37,344,2729,541,0,No
5,0,5,429,0,3,254,64,79,64,61,479,3190,731,1,No
1,0,1,335,0,3,193,56,51,56,56,464,3092,731,0,No
2,1,2,189,0,3,128,54,67,54,37,364,2795,339,0,No
2,0,3,318,0,3,191,56,64,56,55,460,3092,731,0,No
4,0,7,429,0,3,258,64,87,64,57,473,3140,731,0,No
1,0,1,140,0,3,93,21,46,16,45,403,2924,783,0,No
6,1,32,429,0,5,284,201,139,201,45,379,2800,339,1,No
4,0,5,422,0,5,255,201,88,201,43,376,2797,339,3,No
10,1,24,701,0,5,458,324,215,324,50,419,2939,339,6,No
19,0,35,348,0,3,281,213,214,213,49,398,2867,339,1,No
0,0,0,125,0,3,82,16,39,16,38,340,2438,783,0,No
8,0,14,310,0,4,239,133,168,133,45,386,2843,339,0,No
9,0,30,210,0,1,206,203,202,203,17,161,1304,152,1,No
25,0,35,221,0,1,218,211,215,211,17,161,1304,152,0,No
5,7,6,701,0,3,425,105,149,87,60,462,3143,731,7,No
4,4,5,177,0,3,142,106,107,106,31,320,2610,268,1,No
2,3,7,151,0,1,109,74,67,74,22,189,1314,144,2,No
12,0,20,164,0,1,161,159,158,159,17,167,1269,144,0,No
2,0,14,158,0,3,135,113,112,113,44,432,2795,689,8,No
1,1,4,170,0,4,118,54,66,54,42,380,2716,296,1,No
8,8,12,1093,0,4,624,142,155,142,117,864,3880,698,3,No
1,2,20,774,0,6,483,92,192,92,90,604,2838,779,8,No
2,6,19,137,0,1,130,123,123,123,9,88,788,130,3,No
14,13,30,658,0,4,441,148,224,148,67,518,3006,375,5,Yes
1,4,9,150,0,3,116,74,82,74,39,364,2676,185,0,No
3,0,3,128,0,3,100,54,72,54,50,436,2810,438,2,No
6,21,25,579,0,4,427,208,275,208,52,441,2849,272,1,Yes
13,3,18,424,0,5,260,77,96,77,73,606,3279,776,0,No
2,0,2,112,0,3,70,14,28,14,41,358,2499,783,0,No
16,1,31,622,0,3,393,88,164,82,85,623,3333,811,3,No
25,0,42,772,0,4,470,61,168,61,103,785,3701,776,0,No
9,1,18,419,0,3,277,35,135,35,97,594,3235,822,1,No
6,3,12,630,0,4,359,177,88,177,79,593,3359,796,0,No
9,1,9,204,0,3,138,61,72,61,53,418,2611,779,1,No
8,0,12,125,0,4,109,84,93,84,33,332,2639,177,0,No
22,4,33,1350,0,4,796,126,242,126,131,881,3893,809,3,No
8,0,10,488,0,4,278,102,68,92,76,559,2838,457,0,No
7,1,7,212,0,3,135,61,58,61,52,442,2952,779,1,No
0,1,0,438,0,4,239,89,40,89,78,633,3335,776,0,No
19,3,25,957,0,3,570,82,183,82,133,830,3749,787,1,No
4,1,4,417,0,3,236,58,55,58,68,533,2865,811,0,No
39,6,49,1260,0,4,808,132,356,132,182,1179,4425,767,1,No
23,5,31,286,0,4,242,143,198,143,63,469,3016,279,0,No
16,1,17,168,0,4,156,114,144,114,33,307,2298,272,0,No
0,1,0,432,0,3,236,89,40,89,77,624,3322,776,0,No
6,4,6,255,0,3,165,100,75,100,82,568,3196,352,0,No
14,5,14,429,0,4,284,191,139,191,98,714,3475,660,0,No
13,2,27,277,0,3,211,137,145,137,43,375,2752,177,1,No
6,1,8,110,0,3,92,69,74,69,31,286,2222,177,0,No
5,2,7,147,0,3,106,69,65,69,33,333,2643,177,0,No
4,1,4,79,0,3,65,44,51,44,35,332,2363,383,0,No
15,2,15,509,0,3,333,149,157,149,68,566,2793,767,0,No
0,1,0,432,0,3,236,89,40,89,71,594,3235,776,0,No
17,4,18,368,0,4,260,121,152,121,84,566,3243,383,1,No
4,0,4,206,0,3,129,35,52,35,56,387,2466,822,0,No
6,2,6,467,0,3,268,58,69,58,75,573,2938,811,0,No
5,0,10,466,0,3,270,191,74,191,64,564,3096,660,0,No
4,0,4,344,0,3,204,133,64,133,72,542,3062,660,0,No
8,4,11,143,0,3,117,88,91,88,54,412,2860,269,0,No
11,4,19,371,0,4,255,91,139,91,73,618,3308,776,0,No
5,3,7,148,0,4,112,49,76,49,49,409,2559,618,0,No
3,2,4,249,0,4,153,35,57,35,55,414,2602,822,0,No
